3, B2ce3ai4krw5nry6cn/S12aek3inr4jnrz5-ijny6e, 9, 9, 30, bo2$2o!
3, B2-a3-ikqy4jwy5cijr6ac7e/S02ck3knq4nrw5ijy6ac7c, 8, 8, 30, o$2bo2$2bo!
3, B2cek3cikry4aijkrw5ijkqr6cin78/S01c2e4nz5eqry6ckn, 7, 7, 30, o2bo2$3bo!
3, B2cek3aey4acikqt5ajky68/S03ceik4aikqrtz5ejkqr6ce8, 6, 6, 30, o$bobo!
3, B2cin3-cinq4acijqr5cek6aen7/S02e4cnt5anry6aei, 5, 5, 30, 3bo2$3bo$o!
3, B2cek4acqrt5qry6ckn7c/S03ajr4ek5r, 4, 4, 30, o$3bo2$3bo!
3, B2ce3acknr4ciw5aeij6ae8/S01c2kn3eq4jknw5nq6ack7e, 3, 3, 30, o2$o2bo!
3, B2ce3ajqy4-jqwy5-acjy6aei8/S01c3ijky4ajknty5ikqy6cei78, 2, 2, 30, o3$bo2$bo!
3, B2cik3-ckn4-atw5acikn6aci8/S01e2k3akny4jyz5ceik6-en7e, 1, 1, 30, 3bo2$o2bo!
3, B2aei3eqry4knrw5acin8/S02cn3cjknr4cikqy5acei6-ac7, 15, 15, 31, 2bo2$obo!
3, B2ain3ack4ejrtwyz5ejk/S02c3aeir4-anwyz5nr6en7c, 14, 14, 31, 2bo2$obo!
3, B2ain3a4einqrz5-cqr6e/S02-en3jqry4iqwz5-qr6-ae7c8, 13, 13, 31, 2bo2$obo!
3, B2ain3acen4-jntwz5acik6k8/S02ei3-ckqy4einqry5k6ei7, 12, 12, 31, 2bo2$obo!
3, B2ain3acr4acqrwy5aiq6n7c/S02cei3aciry4kry5cinr6aek7c8, 11, 11, 31, 2bo2$obo!
3, B2-ek3ak4ijky5cknr6ae/S02e3cijry4aw5an6c, 10, 10, 31, 2bo2$obo!
3, B2-an3aceq4aqty5ackq6a8/S02cen3cejn4-eikqz5ekn6c7e, 9, 9, 31, 3bo2$2bo$o!
3, B2-ek3ak4wy5cikn6en7c/S02en3eijr4aktw5ajny7c, 8, 8, 31, 2bo2$obo!
3, B2-ae3aen4eqw5a/S02en3ajry4akrtw5iky6n8, 7, 7, 31, 2bo2$obo!
3, B2-ek3ak4aikty5kn6ek/S03-eqy4aekqtw5ajny8, 6, 6, 31, 2bo2$obo!
3, B2-a3aey4ew5cey6en7c/S02ce3cejkr4jnrw5ijq6ai7e, 5, 5, 31, 2bo2$obo!
3, B2-ai3ein4ejqrt5ay6e7c/S03cei4crtw5ay, 4, 4, 31, 2bo2$obo!
3, B2-ac34cijkrty5eiqry6-cn8/S01c3kr4iq5ry7e, 3, 3, 31, 2bo2$obo!
3, B2-ai3aekr4ceintz5-akr6-ik78/S02-ac3-cjqy4ejkrwz5ekny6ek7e8, 2, 2, 31, obo2$o!
3, B2ekn3cinq4iknrwyz5-ejr6ac78/S02ae3cijky4ejrwy5ijn6a, 1, 1, 31, o$bo2$3bo!
4, B2-ek3c4ejqr5acijk6ckn7c8/S01e3acn4ijtwz5-ceiq6ekn7e, 16, 16, 32, o2$2b2o$bo!
3, B2-ek3kn4-cinqr5kry6ik/S1e2ek3anr4ceijrw5eiry6ck, 15, 15, 32, o2$2bobo!
3, B2ai3acn4iqrw5kqr6ek8/S02aen3-eikq4cekz5ak6ckn7e8, 14, 14, 32, 2bo2$obo!
3, B2-ek3acqy4nqw5cijr6a/S1c2ae3-acjq4acjnrw5cknqy6k, 13, 13, 32, o$bobo!
3, B2ain3acr4aiqr5aijq6n/S02cei3acijr4kry5cinr6ae7c8, 12, 12, 32, 2bo2$obo!
3, B2-ek3r4inrtwyz5cknq6ei7c/S2i3-jknq4aceqrty5ejnqy6aei, 11, 11, 32, o2$2bo2$2bo!
3, B2ain3ack4aqr5aiqy6en8/S02-ak3acir4ry5cinr6ae7c8, 10, 10, 32, 2bo2$obo!
